,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,ICICI Bank,4.0,(33.6k Reviews),Public,"Mumbai,Maharashtra + 1020 more",28,1 Lakh+ Employees (India)
1,HDFC Bank,4.0,(37.9k Reviews),Public,"Mumbai,Maharashtra + 1168 more",28,1 Lakh+ Employees (India)
2,HCL Technologies,3.9,(17.4k Reviews),Public,"Noida,Uttar Pradesh + 138 more",31,1 Lakh+ Employees (India)
3,Axis Bank,3.9,(18.3k Reviews),Public,"Mumbai,Maharashtra + 1041 more",29,1 Lakh+ Employees (India)
4,IBM,4.2,(20.7k Reviews),Public,"Armonk,New York + 115 more",111,1 Lakh+ Employees (India)
5,HDB Financial Se...,4.0,(12.9k Reviews),Private,"Ahmedabad,Gujrat + 748 more",15,1 Lakh+ Employees (India)
6,Kotak Mahindra B...,3.9,(13.2k Reviews),Public,"Mumbai,Maharashtra + 464 more",19,50k-1 Lakh Employees (India)
7,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 540 more",28,10k-50k Employees (India)
8,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 53 more",20,10k-50k Employees (India)
9,IDFC FIRST Bank,4.0,(4.9k Reviews),Public,"Mumbai,Maharashtra + 369 more",4,10k-50k Employees (India)
10,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 353 more",18,10k-50k Employees (India)
11,ICICI Prudential...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 393 more",22,10k-50k Employees (India)
12,Udaan,4.1,(4.2k Reviews),Private,"Bangalore,Karnataka + 293 more",6,1k-5k Employees (India)
13,HDFC Life,4.0,(5.4k Reviews),Public,"Mumbai,Maharashtra + 395 more",22,10k-50k Employees (India)
14,Bajaj Finance,4.2,(4.2k Reviews),Private,"Pune,Maharashtra + 591 more",35,10k-50k Employees (India)
15,Bajaj Allianz Li...,4.2,(3.7k Reviews),Private,Pune + 420 more,21,10k-50k Employees (India)
16,Ujjivan Small Fi...,4.1,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 374 more",5,10k-50k Employees (India)
17,IIFL,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 462 more",27,10k-50k Employees (India)
18,JP Morgan Chase,4.2,(3.4k Reviews),Private,"New York,New York + 20 more",22,10k-50k Employees (India)
19,Ashok Leyland,4.1,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 183 more",74,10k-50k Employees (India)
20,Mahindra & Mahin...,4.3,(4.9k Reviews),Public,"Mumbai,Maharashtra + 546 more",31,10k-50k Employees (India)
21,Wells Fargo Indi...,4.2,(3.3k Reviews),Public,"San Francisco,California + 10 more",170,10k-50k Employees (India)
22,Bandhan Bank,3.9,(3.3k Reviews),Public,"Kolkata,West Bengal + 513 more",21,50k-1 Lakh Employees (India)
23,Max Life Insuran...,4.2,(3.1k Reviews),JV,"Gurgaon/Gurugram,Haryana + 281 more",22,10k-50k Employees (India)
24,Manappuram Finan...,4.0,(3.3k Reviews),Public,"Thrissur/Trichur,Kerala + 381 more",73,10k-50k Employees (India)
25,SBI Cards & Paym...,3.8,(2.5k Reviews),Government,"Gurgaon/Gurugram,Haryana + 233 more",24,10k-50k Employees (India)
26,Axis Direct,4.0,(2.4k Reviews),Private,"San Mateo,California + 263 more",11,1k-5k Employees (India)
27,Equitas Small Fi...,4.2,(2.3k Reviews),Private,"Chennai,Tamil Nadu + 286 more",15,10k-50k Employees (India)
28,State Bank of In...,3.9,(4.7k Reviews),"Mumbai,Maharashtra + 334 more",216,1 Lakh+ Employees (India),
29,ICICI Lombard Ge...,3.9,(2.3k Reviews),Public,"Mumbai,Maharashtra + 194 more",21,10k-50k Employees (India)
30,Muthoot Fincorp,4.0,(2.2k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 418 more",135,10k-50k Employees (India)
31,L&T Financial Se...,4.0,(2.2k Reviews),Public,"Mumbai,Maharashtra + 377 more",28,10k-50k Employees (India)
32,SBI Life Insuran...,3.8,(2.2k Reviews),Government,"Mumbai,Maharashtra + 407 more",21,10k-50k Employees (India)
33,Cholamandalam In...,4.2,(2.2k Reviews),Private,"Chennai,Tamil Nadu + 471 more",44,5k-10k Employees (India)
34,NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 17 more,10k-50k Employees (India),
35,American Express,4.4,(2k Reviews),Private,"New York City,New York + 33 more",172,10k-50k Employees (India)
36,Deutsche Bank,4.3,(2.1k Reviews),Private,Frankfurt + 28 more,152,10k-50k Employees (India)
37,Piramal Capital ...,4.3,(1.9k Reviews),Mumbai + 218 more,4,1k-5k Employees (India),
38,DCB Bank,4.0,(1.9k Reviews),Private,"Mumbai,Maharashtra + 240 more",92,5k-10k Employees (India)
39,Reliance Nippon ...,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 380 more",22,10k-50k Employees (India)
40,Standard Charter...,4.2,(5.5k Reviews),Private,London + 56 more,53,10k-50k Employees (India)
41,State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 12 more,18,501-1k Employees (India)
42,Bank of America,4.4,(2.9k Reviews),Private,Charlotte + 25 more,24,10k-50k Employees (India)
43,PNB MetLife,3.7,(1.7k Reviews),Private,"Mumbai,Maharashtra + 237 more",21,5k-10k Employees (India)
44,Tata AIA Life In...,4.0,(1.7k Reviews),Private,"Mumbai,Maharashtra + 195 more",21,10k-50k Employees (India)
45,Kotak Mahindara ...,3.9,(1.6k Reviews),Public,"Mumbai,Maharashtra + 164 more",21,10k-50k Employees (India)
46,HDFC Ergo Genera...,4.0,(1.6k Reviews),Public,"Mumbai,Maharashtra + 174 more",20,5k-10k Employees (India)
47,Utkarsh Small Fi...,4.0,(1.5k Reviews),Public,"Varanasi,Uttar Pradesh + 205 more",13,10k-50k Employees (India)
48,Tata AIG,4.1,(1.5k Reviews),Private,"Mumbai,Maharashtra + 179 more",22,5k-10k Employees (India)
49,Life Insurance C...,4.4,(1.5k Reviews),Private,Mumbai + 348 more,66,1 Lakh+ Employees (India)
50,G4S,4.2,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 100 more",26,1 Lakh+ Employees (India)
51,Birla Sun Life I...,4.2,(1.4k Reviews),Private,"Mumbai,Maharashtra + 278 more",22,10k-50k Employees (India)
52,Aditya Birla Gro...,4.2,(15.3k Reviews),"Mumbai,Maharashtra + 188 more",165,50k-1 Lakh Employees (India),
53,Fiserv,3.9,(1.4k Reviews),Private,"Brookfield,Wisconsin + 21 more",38,5k-10k Employees (India)
54,HDFC Sales,4.1,(1.4k Reviews),Private,"Mumbai,Maharashtra + 213 more",18,10k-50k Employees (India)
55,Cholamandalam MS...,4.0,(1.3k Reviews),JV,"Chennai,Tamil Nadu + 263 more",21,50k-1 Lakh Employees (India)
56,Exide Life Insur...,3.7,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 183 more",21,1k-5k Employees (India)
57,Societe Generale,3.9,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",22,1k-5k Employees (India)
58,Mahindra Rural H...,4.2,(1.3k Reviews),Public,"Mumbai,Maharashtra + 300 more",15,5k-10k Employees (India)
59,Shriram City,4.1,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 344 more",36,10k-50k Employees (India)
60,Indiabulls,3.7,(3.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 141 more",22,10k-50k Employees (India)
61,Datamatics Globa...,3.6,(1.6k Reviews),Public,Mumbai + 22 more,47,1k-5k Employees (India)
62,State Street Cor...,3.8,(1.4k Reviews),Private,"Boston,Massachusetts + 12 more",230,10k-50k Employees (India)
63,Bharti AXA Life ...,3.9,(1.2k Reviews),Private,Mumbai + 193 more,16,5k-10k Employees (India)
64,Tata Motors Fina...,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 200 more",65,1k-5k Employees (India)
65,ICICI Securities,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 98 more",27,5k-10k Employees (India)
66,Future Generali ...,4.0,(1.1k Reviews),Private,Mumbai + 142 more,15,1k-5k Employees (India)
67,AXA Business Ser...,3.9,(1.1k Reviews),Private,Paris + 4 more,27,1k-5k Employees (India)
68,Barclays,4.2,(2.7k Reviews),Private,London + 21 more,332,10k-50k Employees (India)
69,Tata Capital Fin...,4.2,(1.1k Reviews),Public,Mumbai + 121 more,15,1k-5k Employees (India)
70,BA Continuum,4.4,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",19,10k-50k Employees (India)
71,IDBI Bank,3.8,(2k Reviews),Public,"Mumbai,Maharashtra + 240 more",58,10k-50k Employees (India)
72,MetLife,4.4,(1.1k Reviews),Private,New York + 25 more,14,1k-5k Employees (India)
73,CMS Infosystems,3.8,(1.1k Reviews),Private,"Mumbai,Maharashtra + 126 more",14,5k-10k Employees (India)
74,Square Yards,3.0,(1.1k Reviews),Private,"Gurgaon,Haryana + 35 more",9,1k-5k Employees (India)
75,Bharat Financial...,4.2,(1k Reviews),Public,Hyderabad + 233 more,24,10k-50k Employees (India)
76,Canara HSBC Life...,3.8,(1k Reviews),Government,"Gurgaon/Gurugram,Haryana + 173 more",14,1k-5k Employees (India)
77,Aavas Financiers...,4.0,(1k Reviews),Public,"Jaipur,Rajasthan + 184 more",11,5k-10k Employees (India)
78,Northern Trust O...,4.2,(996 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",17,5k-10k Employees (India)
79,S&P Global,4.3,(994 Reviews),Public,"New York City,New York + 11 more",105,5k-10k Employees (India)
80,Reliance General...,3.8,(978 Reviews),Private,"Mumbai,Maharashtra + 133 more",22,5k-10k Employees (India)
81,Kotak Securities,3.8,(959 Reviews),Private,"Mumbai,Maharashtra + 94 more",28,5k-10k Employees (India)
82,Citibank,4.1,(958 Reviews),Private,"New York,New York + 42 more",210,10k-50k Employees (India)
83,Angel One,3.9,(954 Reviews),Mumbai + 102 more,5k-10k Employees (India),,
84,Bank of Baroda,3.8,(1.3k Reviews),Private,"Vadodara/Baroda,Gujrat + 167 more",114,10k-50k Employees (India)
85,Crisil,3.9,(938 Reviews),Public,"Mumbai,Maharashtra + 43 more",35,5k-10k Employees (India)
86,Care Health Insu...,3.9,(925 Reviews),Public,"Gurgaon,Haryana + 136 more",10,5k-10k Employees (India)
87,Ocwen Financial ...,4.2,(924 Reviews),Private,"West Palm Beach,Florida + 6 more",34,1k-5k Employees (India)
88,DBS Bank,3.9,(924 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 97 more",7,5k-10k Employees (India)
89,FactSet,4.0,(915 Reviews),Private,"Norwalk,Connecticut + 5 more",44,1k-5k Employees (India)
90,Vedantu,3.4,(913 Reviews),Private,"Bangalore,Karnataka + 47 more",11,5k-10k Employees (India)
91,Citicorp,3.8,(912 Reviews),Private,"Mumbai,Maharashtra + 18 more",25,10k-50k Employees (India)
92,HDFC Securities,3.7,(893 Reviews),Public,"Mumbai,Maharashtra + 143 more",22,1k-5k Employees (India)
93,Satin Creditcare...,4.2,(884 Reviews),Public,"Gurgaon/Gurugram,Haryana + 183 more",32,1k-5k Employees (India)
94,Hero FinCorp,4.3,(881 Reviews),Private,Delhi + 222 more,31,1k-5k Employees (India)
95,First American C...,4.0,(1.3k Reviews),Private,"Santa Ana,California + 10 more",133,1k-5k Employees (India)
96,Fincare Small Fi...,4.0,(868 Reviews),Bangalore + 211 more,15,5k-10k Employees (India),
